Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,BB_Middle,BB_Upper,BB_Lower,RSI_14,MACD,MACD_Signal,MACD_Hist
2025-07-21,211.2618775331451,214.92732845073886,210.7937335563828,211.64036560058594,51377400,211.64036560058594,211.64036560058594,211.64036560058594,211.64036560058594,211.64036560058594,211.64036560058594,211.64036560058594,,0.0,0.0,0.0
2025-07-22,212.29776458434165,214.1006098348481,211.39135685335447,213.5527801513672,46404100,212.59657287597656,212.59657287597656,211.82250031970796,211.7153622496362,212.59657287597656,215.30113547057107,209.89201028138206,,0.15255728610222263,0.03051145722044453,0.1220458288817781
2025-07-23,214.15041924441525,214.29982043425818,211.57065737650467,213.30377197265625,46989300,212.83230590820312,212.83230590820312,211.96357381046494,211.77765282700955,212.83230590820312,214.91176982080958,210.75284199559667,,0.25047978048911546,0.07450512187417872,0.17597465861493672
2025-07-24,213.05475989741393,214.83769515517375,212.68622683006964,212.91531372070312,46022600,212.85305786132812,212.85305786132812,212.0542157066781,211.82226697970344,212.85305786132812,214.5529609191987,211.15315480345754,,0.2933570904029068,0.11827551557992434,0.17508157482298248
2025-07-25,213.85161823157193,214.38949295365802,212.55675209148805,213.0348663330078,40268800,212.88941955566406,212.88941955566406,212.14761100442377,211.86981989551933,212.88941955566406,214.37053273868483,211.4083063726433,,0.33314428416136366,0.16124926929621222,0.17189501486515144
2025-07-28,213.18423737412155,214.00100435562788,212.21806921233596,213.20416259765625,37858000,212.94187672932944,212.94187672932944,212.248234965684,211.92214706030902,212.94187672932944,214.29132073720427,211.5924327214546,,0.37402518603340695,0.20380445264365116,0.1702207333897558
2025-07-29,213.33365491441555,213.96117031669576,209.9869466315705,210.43516540527344,51411700,212.58377511160714,212.58377511160714,212.07556167421632,211.8638340542292,212.58377511160714,214.84389209896716,210.32365812424712,,0.18090332245495233,0.1992242266059114,-0.018320904150959078
2025-07-30,211.06265157316113,211.55072076453234,206.89917652304968,208.2239227294922,45512500,212.03879356384277,212.03879356384277,211.70873891757591,211.72109243365128,212.03879356384277,215.76472331468995,208.3128638129956,,-0.14885998437060266,0.1296073844106086,-0.27846736878121126
2025-07-31,207.6661338109758,209.0107900151974,206.34138763159262,206.74977111816406,80698400,211.4511244032118,211.4511244032118,211.2364562700129,211.52613865657335,211.4511244032118,216.40894801539875,206.49330079102484,,-0.5231212794040232,-0.0009383483523177638,-0.5221829310517054
2025-08-01,210.03674932642843,212.7360475386617,200.7037794341265,201.58030700683594,104434500,210.46404266357422,210.46404266357422,210.31682300685318,211.13610604285816,210.46404266357422,218.262896209077,202.66518911807142,,-1.2227633481612088,-0.24530334831409598,-0.9774599998471128
2025-08-04,203.70186769022786,207.0585613783641,200.88304868853191,202.5464630126953,75109300,209.7442626953125,209.7442626953125,209.5767887216953,210.79925729657725,209.7442626953125,218.54969090074684,200.93883448987816,,-1.6799090671113959,-0.5322244920735559,-1.14768457503784
2025-08-05,202.59624780213056,204.52858421879685,201.36115745633876,202.11814880371094,44155100,209.1087532043457,209.1087532043457,208.86644206283967,210.45882166940603,209.1087532043457,218.58887710136918,199.62862930732223,,-2.0530949198020494,-0.8363985776192546,-1.2166963421827948
