Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,BB_Middle,BB_Upper,BB_Lower,RSI_14,MACD,MACD_Signal,MACD_Hist
2025-07-21,334.3999938964844,338.0,326.8800048828125,328.489990234375,75768800,328.489990234375,328.489990234375,328.489990234375,328.489990234375,328.489990234375,328.489990234375,328.489990234375,,0.0,0.0,0.0
2025-07-22,329.739990234375,335.4100036621094,321.54998779296875,332.1099853515625,77370400,330.29998779296875,330.29998779296875,328.83475167410717,328.6319508272059,330.29998779296875,335.4194339834197,325.1805416025178,,0.2887745392628176,0.05775490785256352,0.23101963141025408
2025-07-23,330.8999938964844,336.20001220703125,328.6700134277344,332.55999755859375,92553800,331.05332438151044,331.05332438151044,329.1895369964392,328.78599187549565,331.05332438151044,335.5158972757149,326.59075148730597,,0.547629929396976,0.15572991216144602,0.3919000172355299
2025-07-24,310.0,310.1499938964844,300.4100036621094,305.29998779296875,156966000,324.614990234375,324.614990234375,326.91434183420387,327.86497210755346,324.614990234375,350.6248098544104,298.6051706143396,,-1.4303916115380275,-0.16149439257844866,-1.2688972189595789
2025-07-25,308.739990234375,323.6300048828125,308.010009765625,316.05999755859375,148227000,322.90399169921875,322.90399169921875,325.88059476033624,327.4020319291629,322.90399169921875,346.69334556279017,299.11463783564733,,-2.1054744715764286,-0.5502904083780447,-1.555184063198384
2025-07-28,318.45001220703125,330.489990234375,315.69000244140625,325.5899963378906,112673800,323.3516591389974,323.3516591389974,325.8529187201033,327.3309717098973,323.3516591389974,344.7422279270471,301.96109035094764,,-1.8501637103340727,-0.8102650687692503,-1.0398986415648224
2025-07-29,325.54998779296875,326.25,318.25,321.20001220703125,87358900,323.0442810058594,323.0442810058594,325.40978476647734,327.0905419254712,323.0442810058594,342.6387318639991,303.44983014771964,,-1.9792475891975414,-1.0440615728549085,-0.9351860163426329
2025-07-30,322.17999267578125,324.45001220703125,311.6199951171875,319.0400085449219,83931900,322.5437469482422,322.5437469482422,324.8031394120435,326.7748347340771,322.5437469482422,340.904320855345,304.18317304113936,,-2.2301341386839795,-1.2812760860207226,-0.9488580526632568
2025-07-31,319.6099853515625,321.3699951171875,306.1000061035156,308.2699890136719,85270900,320.95777384440106,320.95777384440106,323.22855365981763,326.0491545097475,320.95777384440106,340.5925140928302,301.32303359597194,,-3.2604298977410053,-1.677106848364779,-1.5833230493762263
2025-08-01,306.2099914550781,309.30999755859375,297.82000732421875,302.6300048828125,89121400,319.1249969482422,319.1249969482422,321.26678710962665,325.13075648516184,319.1249969482422,340.96647077768466,297.28352311879974,,-4.480399042509646,-2.237765287193753,-2.242633755315893
2025-08-04,309.0799865722656,312.1199951171875,303.0,309.260009765625,78683900,318.2281799316406,318.2281799316406,320.123284505436,324.50837426086633,318.2281799316406,339.7858545426396,296.67050532064167,,-4.856267367075418,-2.761465703170086,-2.094801663905332
2025-08-05,308.95001220703125,312.45001220703125,305.5,308.7200012207031,57961300,317.4358317057292,317.4358317057292,319.03725752593766,323.8892223769384,317.4358317057292,338.71069959721206,296.1609638142463,,-5.138486623614142,-3.2368698872588975,-1.9016167363552445
2025-08-06,307.8900146484375,320.4700012207031,306.92999267578125,319.9100036621094,78523600,317.62615262545074,317.62615262545074,319.12037620557305,323.7331745842,317.62615262545074,338.0414708174162,297.2108344334853,,-4.408390557216194,-3.4711740212503566,-0.9372165359658373
2025-08-07,319.7900085449219,322.3999938964844,316.1600036621094,322.2699890136719,66658700,317.9578552246094,317.9578552246094,319.4203393301539,323.6757947579048,317.9578552246094,337.72870007203454,298.1870103771842,51.22,-3.597878960828666,-3.4965150091660187,-0.10136395166264744
2025-08-08,321.42999267578125,335.1499938964844,320.9800109863281,329.6499938964844,91200300,318.7373311360677,318.7373311360677,320.3945921459949,323.9100770770648,318.7373311360677,338.72284632448293,298.7518159476525,56.96,-2.3331429449635834,-3.263840596325532,0.9306976513619487
2025-08-11,335.0,346.6400146484375,334.1499938964844,339.0299987792969,105320200,320.00562286376953,320.00562286376953,322.169392777738,324.5030151830347,320.00562286376953,341.81710729001287,298.1941384375262,62.93,-0.5674018826800875,-2.7245528535964434,2.157150970916356
2025-08-12,345.0,345.260009765625,332.94000244140625,340.8399963378906,80522100,321.2311742446002,321.2311742446002,323.9475454977525,325.1436811106761,321.2311742446002,344.6435946724691,297.8187538167313,63.96,0.9668668674603964,-1.9862689093850756,2.953135776845472
2025-08-13,341.5,348.9800109863281,338.20001220703125,339.3800048828125,67838900,322.23944261338977,322.23944261338977,325.4173035344249,325.7019683174266,322.23944261338977,346.51068865056016,297.9681965762194,62.44,2.0414442978781153,-1.1807262679324375,3.222170565810553
2025-08-14,335.760009765625,340.4700012207031,330.3999938964844,335.5799865722656,75000700,322.9415765059622,322.9415765059622,326.38517810945734,326.0893415823223,322.9415765059622,347.3102729462566,298.5728800656678,58.55,2.556950005792771,-0.43319101318739583,2.990141018980167
2025-08-15,337.6600036621094,339.29998779296875,327.0199890136719,330.55999755859375,74319800,323.32249755859374,323.32249755859374,326.7827799617561,326.264661424529,323.32249755859374,347.2846979244107,299.3602971927768,53.77,2.531242248728745,0.1596956391958323,2.3715466095329125
2025-08-18,329.6199951171875,336.2699890136719,329.5899963378906,335.1600036621094,56956600,323.65599822998047,323.88618832542784,327.58061079036116,326.61349837502235,323.65599822998047,348.1018033227291,299.21019313723184,57.21,2.8492068319507666,0.6975978777468193,2.1516089542039474
2025-08-19,335.7900085449219,340.54998779296875,327.8500061035156,329.30999755859375,75956000,323.51599884033203,324.13272510875356,327.7453142920976,326.7192434410448,323.51599884033203,347.78941249690246,299.2425851837616,51.92,2.599187635824876,1.0779158293624307,1.5212718064624453
2025-08-20,329.2200012207031,331.3699951171875,314.6000061035156,323.8999938964844,77481800,323.08299865722654,324.122606360394,327.37909330203917,326.60868463537577,323.08299865722654,346.98321735825186,299.1827799562012,47.53,1.9421160346369106,1.2507558704173267,0.6913601642195839
2025-08-21,322.0799865722656,324.8999938964844,318.67999267578125,320.1099853515625,55744400,323.82349853515626,323.9554138183594,326.6867973067557,326.35383368306935,323.82349853515626,346.2778202977131,301.3691767725994,44.69,1.1028471066509837,1.2211741176640583,-0.11832701101307452
2025-08-22,321.6600036621094,340.25,319.69000244140625,340.010009765625,94016300,325.0209991455078,324.59759765625,327.95567468379085,326.88937000003233,325.0209991455078,348.2724155451176,301.769582745898,58.68,2.020198502579831,1.3809789946472129,0.639219507932618
2025-08-25,338.8999938964844,349.5299987792969,335.0299987792969,346.6000061035156,86670000,326.0714996337891,325.44384413499097,329.7313252951932,327.66233612173755,326.0714996337891,351.2497838852059,300.89321538237226,62.1,3.2415966146340907,1.7531025186445883,1.4884940959895023
2025-08-26,344.92999267578125,351.8999938964844,343.7200012207031,351.6700134277344,76651600,327.5949996948242,326.4151837384259,331.820724164959,328.6038136631492,327.5949996948242,355.1110235804563,300.0789758091921,64.53,4.56603621416258,2.3156892577481867,2.250346956414393
2025-08-27,351.94000244140625,355.3900146484375,349.1600036621094,349.6000061035156,65519000,329.1229995727539,327.2432131086077,333.51398911148823,329.42719375884985,329.1229995727539,357.99918433564244,300.2468148098653,62.76,5.3865391769419375,2.929859241586937,2.4566799353550004
2025-08-28,350.9100036621094,353.54998779296875,340.260009765625,345.9800109863281,67903200,331.00850067138674,327.8893095871498,334.7012292900444,330.07632384620194,331.00850067138674,359.064535643708,302.9524656990655,59.68,5.67922377744145,3.47973214875784,2.19949162868361
2025-08-29,347.2300109863281,348.75,331.70001220703125,333.8699951171875,81145700,332.5705001831055,328.0886657714844,334.6220641307247,330.2250952685936,332.5705001831055,357.2493745709725,307.89162579523844,50.7,4.877773423286612,3.759340403663595,1.1184330196230174
2025-09-02,328.2300109863281,333.3299865722656,325.6000061035156,329.3599853515625,58392000,333.5754989624023,328.1296760805192,334.1209137708045,330.1911693894943,333.5754989624023,355.7693837818504,311.3816141429542,47.82,3.834496458832973,3.774371614697471,0.06012484413550201
2025-09-03,335.20001220703125,343.3299865722656,328.510009765625,334.0899963378906,88733300,334.84399871826173,328.315936088562,334.11796925338416,330.3440645639412,334.84399871826173,353.70631198265426,315.9816854538692,50.97,3.3507390701067834,3.689645105779334,-0.3389060356725504
2025-09-04,336.1499938964844,338.8900146484375,331.4800109863281,338.5299987792969,60711000,335.7749984741211,328.6254531397964,334.53816254156635,330.66508159199435,335.7749984741211,353.3262153772243,318.2237815710179,53.79,3.287730039278415,3.6092620924791503,-0.3215320532007353
2025-09-05,348.0,355.8699951171875,344.67999267578125,350.8399963378906,108989800,337.20349884033203,329.2788220573874,336.09071814121626,331.4562547192844,337.20349884033203,354.77723153784444,319.6297661428196,60.56,4.182891087727739,3.7239878915288687,0.45890319619887077
2025-09-08,354.6400146484375,358.44000244140625,344.8399963378906,346.3999938964844,75208300,338.040998840332,329.76799839564734,337.0725539274323,332.0422837066256,338.040998840332,355.6953607213206,320.38663695934343,57.3,4.482371588050455,3.875664630833186,0.606706957217269
2025-09-09,348.44000244140625,350.7699890136719,343.82000732421875,346.9700012207031,53816000,338.43799896240233,330.2458318074544,338.0151679553628,332.62768439345217,338.43799896240233,356.53749081022244,320.3385071145822,57.61,4.711396819716185,4.042811068609787,0.6685857511063986
