Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14
2025-08-28,503.8987080370186,507.8735346885091,502.3187180821136,506.43267822265625,18015600,512.9670425415039,511.73619658371496,46.86
2025-08-29,505.4588240002719,506.39291066950057,501.3150539612025,503.501220703125,20961600,512.1442642211914,511.4616973876953,44.01
2025-09-02,497.32034095368414,502.81553721257154,493.68337117589067,501.9410705566406,18128000,510.6715423583984,511.1545803931452,42.53
2025-09-03,500.6194673133705,504.5942937991858,499.1587173668126,502.1696472167969,16345100,509.601628112793,510.8738012313843,42.84
2025-09-04,501.1262461318779,504.95202275876863,499.983489561643,504.7731628417969,15509500,508.8012725830078,510.68893340139675,46.31
2025-09-05,505.86625611105876,508.7479993566889,489.27134277765646,491.8847961425781,31994800,507.5598739624023,510.1358705408433,34.97
2025-09-08,494.97517595073856,498.04575600626316,491.91457299081776,495.06463623046875,16771000,506.4179489135742,509.7052638462612,38.94
2025-09-09,498.27429847652155,499.0891451753406,494.5677922273047,495.2733154296875,14410500,505.29984893798826,509.30437639024524,39.21
2025-09-10,499.81456783685906,500.06299449245154,493.5939546766565,497.2209777832031,21611800,503.90859069824216,508.9777980495144,41.72
2025-09-11,499.08915061774627,500.00337405269875,494.7466575341409,497.8569641113281,18881600,502.9786972045898,508.68514452482526,42.56
2025-09-12,503.4614629424367,509.32432605160386,500.67909648146514,506.6910095214844,23624900,502.39626159667966,508.63401285807294,52.72
2025-09-15,505.58800862213144,512.2259313574772,503.80926524972944,512.1166381835938,17143800,502.19969177246094,508.72107849121096,57.67
2025-09-16,513.6270820344445,513.9748550906477,505.3991924428879,505.83642578125,19711900,501.8413940429688,508.6507211080412,51.01
2025-09-17,507.4064717390096,508.07226852063866,502.74598524416496,506.81024169921875,15816600,501.8953857421875,508.60690016973587,51.94
2025-09-18,508.270998935228,509.84107240669834,504.4651158521554,505.2501525878906,18913700,502.07226409912107,508.52883627248366,50.3
2025-09-19,507.34685812925306,516.0318444319288,507.09843147001845,514.6704711914062,52474100,502.752458190918,508.66841888427734,58.77
2025-09-22,512.3452424901319,514.48167541423,509.3143886623668,511.21240234375,20009300,503.1111862182617,508.7249518500434,55.06
2025-09-23,510.5664850795932,511.35155218118825,504.1173383670773,506.0252685546875,19799600,503.3581237792969,508.66626308275306,49.96
2025-09-24,507.16798604562155,509.2547456727144,503.72976965544393,506.9394226074219,13533700,503.76107025146484,508.6295217960439,50.83
2025-09-25,505.10107733704126,506.8003375404676,501.8616142840625,503.8390808105469,15786500,503.7754791259766,508.5297209421794,47.81
2025-09-26,506.8499667801191,510.7055530942258,503.4316137794998,508.24114990234375,16213100,503.86590270996095,508.52383173728475,52.15
2025-09-29,508.28092297827857,513.5972289973041,505.67741655332713,511.36138916015625,17617800,504.2589111328125,508.58058288574216,55.01
2025-09-30,510.0099885223437,514.8990082310244,506.45253207823936,514.6903686523438,19728200,504.89637603759763,508.7540270996094,57.89
2025-10-01,511.56013673304216,517.2342231556227,508.4697238165545,516.4392700195312,22632300,505.6098571777344,509.05749084472654,59.37
2025-10-02,514.3822683481345,518.3173074331339,507.46604898963056,512.4942016601562,21222900,505.9959091186523,509.2701483154297,54.71
2025-10-03,513.8456285403139,517.2143082734997,511.75886906280147,514.0940551757812,15112300,507.1063720703125,509.41539611816404,56.21
2025-10-06,515.3461902238155,527.6880704621805,514.9387971845453,525.2435302734375,21388600,508.6153167724609,509.7274822998047,64.93
2025-10-07,524.9652461341774,526.4657528279373,518.1583800775612,520.682373046875,14615200,509.8857696533203,509.972353515625,59.69
2025-10-08,519.9868090400763,523.6336952116123,519.7980023635643,521.546875,13363400,511.10206451416013,510.2331262207031,60.35
2025-10-09,519.0527457511332,521.0302122328587,514.1438325922749,519.1123657226562,18343600,512.1648345947266,510.4319146728516,57.52
2025-10-10,516.3697201998212,520.2849266906686,506.42270727517143,507.74432373046875,24133800,512.2175003051758,510.00135314941406,46.56
2025-10-13,513.1600441163425,513.1600441163425,508.45983088995337,510.8149108886719,14284200,512.1524139404297,509.818515625,49.37
2025-10-14,507.0188839999062,512.0371200755203,502.8154945413961,510.3378601074219,14684300,512.3774856567383,509.3973626708984,48.94
2025-10-15,511.71919177145384,513.93513816427,506.7903850161382,510.19879150390625,14694700,512.5469131469727,509.1299798583984,48.81
2025-10-16,509.3541552294708,513.597241245564,504.93214864922606,508.3902282714844,15559600,512.7039169311523,508.88217895507813,47.01
